"Performance Index, Trend"
"All Districts, All Schools"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."

"",,,,,,"2015-16",,,"2016-17",,,"2017-18",,
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Race/Ethnicity","Two or More Races","*","*","*","*","*","*","*","*","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Race/Ethnicity","White",56.7,50.4,46.8,55.7,48.1,54.2,59.4,51.5,"N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Special Education Status (SWD)","Students with Disabilities","*","*",27.7,35.2,32.6,29.7,"*","*","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Special Education Status (SWD)","Students without Disabilities",53.0,47.3,49.6,55.6,48.5,50.9,56.6,51.1,"N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","All Students","School",52.9,50.2,45.0,55.9,47.1,44.4,56.7,52.6,"N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","English Language Learners (EL)","English Learners","*","*","*","*","*","*",45.8,48.0,"N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","English Language Learners (EL)","Not English Learners","*","*","*",56.6,47.4,"*",57.6,52.9,"N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Gender","Female",54.7,47.8,44.2,59.8,48.5,43.6,59.8,53.3,"N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Gender","Male",51.2,52.3,45.9,52.3,45.7,45.0,53.4,51.8,"N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade","07",50.3,49.5,"N/A",60.5,51.9,"N/A",55.0,50.6,"N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade","08",55.1,50.7,45.0,50.9,41.7,44.4,58.3,54.3,"N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","High Needs (F/R, EL or SWD)","High Needs",50.0,48.0,42.9,51.7,43.1,43.1,53.3,49.5,"N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","High Needs (F/R, EL or SWD)","Not High Needs",62.5,57.3,53.8,66.8,57.2,48.3,67.6,62.2,"N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",50.6,48.2,43.3,52.8,44.0,43.5,55.0,50.7,"N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",59.0,55.5,50.8,62.4,53.3,46.2,60.8,56.9,"N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Race/Ethnicity","American Indian or Alaska Native","*","*","N/A","*","*","*","N/A","N/A","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Race/Ethnicity","Asian","*","*","*","*","*","N/A","*","*","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Race/Ethnicity","Black or African American",42.6,37.9,38.2,48.0,39.0,34.7,51.7,47.0,"N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Race/Ethnicity","Hispanic or Latino",50.6,48.4,42.0,51.9,44.1,45.2,53.8,50.2,"N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Race/Ethnicity","Native Hawaiian or Other Pacific Islander","*","*","*","*","*","*","*","*","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Race/Ethnicity","Two or More Races","*","*","*","*","*","*","*","*","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Race/Ethnicity","White",56.4,54.0,48.6,60.6,51.2,47.2,60.3,56.0,"N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Special Education Status (SWD)","Students with Disabilities",39.3,38.4,36.2,38.6,29.8,36.8,33.7,33.9,"N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Special Education Status (SWD)","Students without Disabilities",56.2,53.0,46.9,60.7,51.9,46.9,61.5,56.5,"N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","All Students","School",60.5,54.2,45.4,60.2,55.2,46.1,62.0,58.4,"N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","English Language Learners (EL)","English Learners","*","*","*",59.5,53.0,"*",60.2,58.2,"N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","English Language Learners (EL)","Not English Learners",60.7,54.1,"*",60.3,55.4,45.6,62.1,58.4,"N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Gender","Female",64.0,55.5,45.2,63.0,56.7,48.5,66.3,60.0,"N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Gender","Male",57.4,52.9,45.6,57.7,53.9,44.2,57.8,56.9,"N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade","03",59.7,51.9,"N/A",67.3,59.0,"N/A",69.0,65.1,"N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade","04",65.8,59.0,"N/A",58.6,56.7,"N/A",61.6,59.2,"N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade","05",57.1,51.2,45.4,58.2,54.2,46.1,55.3,51.9,"N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Grade","06",59.6,54.4,"N/A",58.3,51.5,"N/A",62.4,57.7,"N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","High Needs (F/R, EL or SWD)","High Needs",57.6,51.3,43.5,58.2,52.9,44.2,59.7,56.1,"N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","High Needs (F/R, EL or SWD)","Not High Needs",70.0,63.5,"*",67.5,63.7,51.0,71.3,67.8,"N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",57.7,51.6,44.0,58.3,53.0,43.6,60.2,56.4,"N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",67.8,60.8,"*",65.5,61.4,51.6,67.4,64.3,"N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Race/Ethnicity","Asian","*","*","N/A","*","*","*","*","*","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Race/Ethnicity","Black or African American",59.0,51.1,"*",56.2,51.3,"*",60.1,53.6,"N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Race/Ethnicity","Hispanic or Latino",58.6,51.9,45.2,59.3,53.6,44.2,62.1,57.5,"N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Race/Ethnicity","Native Hawaiian or Other Pacific Islander","*","*","*","*","*","N/A","N/A","N/A","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Race/Ethnicity","Two or More Races","*","*","N/A","*","*","*","*","*","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Race/Ethnicity","White",61.2,56.9,48.6,61.9,58.1,47.7,62.1,60.6,"N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Special Education Status (SWD)","Students with Disabilities",44.0,38.9,"*",45.1,40.2,"*",44.1,42.0,"N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Special Education Status (SWD)","Students without Disabilities",64.3,57.7,46.8,63.4,58.3,48.8,66.5,62.5,"N/A"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","All Students","School","*","*","*","*","*","*","*","*","N/A"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","English Language Learners (EL)","English Learners","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","English Language Learners (EL)","Not English Learners","*","*","*","*","*","*","*","*","N/A"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Gender","Female","N/A","N/A","*","*","*","*","N/A","N/A","N/A"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Gender","Male","*","*","*","*","*","*","*","*","N/A"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Grade","10","N/A","N/A","*","N/A","N/A","*","N/A","N/A","N/A"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Grade","11","*","*","N/A","*","*","N/A","*","*","N/A"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","High Needs (F/R, EL or SWD)","High Needs","*","*","*","*","*","*","*","*","N/A"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","High Needs (F/R, EL or SWD)","Not High Needs","N/A","N/A","*","*","*","N/A","N/A","N/A","N/A"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals","*","*","*","*","*","*","*","*","N/A"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals","N/A","N/A","*","*","*","N/A","N/A","N/A","N/A"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Race/Ethnicity","Black or African American","N/A","N/A","*","*","*","*","N/A","N/A","N/A"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Race/Ethnicity","Hispanic or Latino","*","*","*","*","*","*","*","*","N/A"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Race/Ethnicity","White","*","*","*","N/A","N/A","*","*","*","N/A"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Special Education Status (SWD)","Students with Disabilities","*","*","N/A","N/A","N/A","*","*","*","N/A"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Special Education Status (SWD)","Students without Disabilities","*","*","*","*","*","*","N/A","N/A","N/A"
"Ansonia School District","=""0020011""","P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""","All Students","School","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ansonia School District","=""0020011""","P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""","English Language Learners (EL)","Not English Learners","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ansonia School District","=""0020011""","P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""","Gender","Male","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ansonia School District","=""0020011""","P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""","Grade","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ansonia School District","=""0020011""","P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""","High Needs (F/R, EL or SWD)","High Needs","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ansonia School District","=""0020011""","P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ansonia School District","=""0020011""","P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""","Race/Ethnicity","Black or African American","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ansonia School District","=""0020011""","P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""","Race/Ethnicity","Hispanic or Latino","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ansonia School District","=""0020011""","P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""","Race/Ethnicity","White","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ansonia School District","=""0020011""","P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""","Special Education Status (SWD)","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ansonia School District","=""0020011""","P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""","Special Education Status (SWD)","Students without Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","All Students","School",63.8,57.9,47.6,62.0,56.2,46.9,63.1,58.7,"N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","English Language Learners (EL)","English Learners",65.0,55.3,"*",63.2,57.7,"*",63.2,60.0,"N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","English Language Learners (EL)","Not English Learners",63.7,58.1,"*",61.9,56.0,"*",63.1,58.5,"N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Gender","Female",65.6,57.9,46.9,64.4,55.5,48.5,65.4,58.3,"N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Gender","Male",61.9,57.9,48.6,59.8,56.8,45.2,61.2,58.9,"N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade","03",67.1,60.7,"N/A",63.1,55.7,"N/A",64.8,60.7,"N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade","04",67.0,61.0,"N/A",63.2,60.0,"N/A",62.1,58.2,"N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade","05",56.8,53.3,47.6,56.4,53.4,46.9,64.4,59.3,"N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Grade","06",65.5,57.6,"N/A",64.9,55.5,"N/A",60.9,56.2,"N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","High Needs (F/R, EL or SWD)","High Needs",60.8,55.2,43.5,59.4,53.2,45.0,60.4,56.0,"N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","High Needs (F/R, EL or SWD)","Not High Needs",72.3,65.5,56.6,68.7,63.8,52.0,71.1,66.6,"N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",61.0,55.6,44.6,59.3,52.6,44.8,60.2,55.8,"N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",70.2,63.0,52.4,67.3,63.2,50.7,70.0,65.3,"N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Race/Ethnicity","Asian","*","*","*","*","*","*","*","*","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Race/Ethnicity","Black or African American",55.2,50.9,"*",52.8,44.8,"*",55.6,52.6,"N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Race/Ethnicity","Hispanic or Latino",62.7,56.3,46.4,60.6,55.7,46.3,61.0,56.6,"N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Race/Ethnicity","Native Hawaiian or Other Pacific Islander","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Race/Ethnicity","Two or More Races","*","*","*","*","*","*",62.6,57.1,"N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Race/Ethnicity","White",66.1,60.0,50.3,65.9,59.5,49.1,68.2,63.1,"N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Special Education Status (SWD)","Students with Disabilities",50.3,44.7,"*",48.3,44.9,39.9,46.9,42.8,"N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Special Education Status (SWD)","Students without Disabilities",66.7,60.8,49.6,65.2,58.7,49.2,67.0,62.4,"N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","All Students","School",72.2,65.1,64.4,72.1,62.8,56.6,72.1,63.6,"N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","English Language Learners (EL)","English Learners","*","*","*","*","*","*","*","*","N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","English Language Learners (EL)","Not English Learners","*","*","*","*","*","*","*","*","N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Gender","Female",76.9,66.2,66.2,76.5,62.9,58.6,77.1,63.8,"N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Gender","Male",67.4,64.0,62.1,67.0,62.8,54.4,66.8,63.3,"N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade","03",72.5,70.1,"N/A",72.7,67.5,"N/A",67.6,66.6,"N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade","04",76.0,72.3,"N/A",74.4,66.1,"N/A",74.0,64.8,"N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade","05",79.7,65.0,69.2,72.8,60.2,61.0,71.5,61.9,"N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade","06",65.0,52.1,"N/A",82.7,64.3,"N/A",72.8,62.1,"N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade","07",70.9,65.6,"N/A",64.5,58.1,"N/A",80.2,67.3,"N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Grade","08",68.7,65.4,59.2,67.4,61.7,52.9,65.5,58.5,"N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","High Needs (F/R, EL or SWD)","High Needs",62.4,57.9,60.9,62.1,55.0,51.6,64.4,56.7,"N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","High Needs (F/R, EL or SWD)","Not High Needs",78.8,70.0,66.8,77.7,67.3,59.1,79.5,70.2,"N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",63.7,59.0,60.3,64.3,57.2,52.0,66.2,57.9,"N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",76.5,68.3,66.8,75.4,65.3,58.5,76.4,67.8,"N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Race/Ethnicity","Asian","*","*","N/A","*","*","*","*","*","N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Race/Ethnicity","Black or African American","*","*","*","*","*","*","*","*","N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Race/Ethnicity","Hispanic or Latino","*","*","*","*","*","*","*","*","N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Race/Ethnicity","Two or More Races","*","*","N/A","*","*","*","*","*","N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Race/Ethnicity","White",72.5,65.1,64.5,72.6,63.7,56.6,72.3,64.1,"N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Special Education Status (SWD)","Students with Disabilities",49.8,48.7,"*",47.3,41.6,"*",46.3,41.0,"N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Special Education Status (SWD)","Students without Disabilities",75.4,67.5,"*",75.7,66.0,58.3,76.7,67.5,"N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","All Students","School",74.5,73.5,69.6,74.2,75.8,66.5,73.8,72.4,"N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","English Language Learners (EL)","English Learners","*","*","*","*","*","*","N/A","N/A","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","English Language Learners (EL)","Not English Learners","*","*","*","*","*","*",73.8,72.4,"N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Gender","Female",73.9,71.8,69.7,76.0,74.2,66.8,74.8,72.2,"N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Gender","Male",75.1,75.5,69.6,72.4,77.4,66.2,72.6,72.6,"N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade","10","N/A","N/A",69.6,"N/A","N/A",66.5,"N/A","N/A","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Grade","11",74.5,73.5,"N/A",74.2,75.8,"N/A",73.8,72.4,"N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","High Needs (F/R, EL or SWD)","High Needs",60.1,54.0,52.5,51.8,55.7,47.4,55.9,49.6,"N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","High Needs (F/R, EL or SWD)","Not High Needs",77.1,77.0,73.0,77.6,78.9,69.2,77.0,76.5,"N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals","*","*","*","*","*","*","*","*","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",75.8,75.0,70.6,75.2,76.8,67.3,74.8,73.7,"N/A"
